imdb_id,title,runtime,overview,rated,imdb_votes,popularity,imdb_rating,rotten_tomatoes_rating,metacritic_rating,budget,revenue,financial_success,star_1,star_2,star_3,genre_1,genre_2,genre_3,director_1,director_2,release_year,outcome
tt0101452,Bill & Ted's Bogus Journey,93 min,"Amiable slackers Bill and Ted are once again roped into a fantastical adventure when De Nomolos, a villain from the future, sends evil robot duplicates of the two lads to terminate and replace them. The robot doubles actually succeed in killing Bill and Ted, but the two are determined to escape the afterlife, challenging the Grim Reaper to a series of games in order to return to the land of the living.",PG,"81,660",33.193,6.3,56.0,60.0,20000000,38000000,True,Keanu Reeves, Alex Winter, William Sadler,Adventure, Comedy, Fantasy,Peter Hewitt,,1991,False
tt0080453,The Blue Lagoon,104 min,"Two small children and a ship's cook survive a shipwreck and find safety on an idyllic tropical island. Soon, however, the cook dies and the young boy and girl are left on their own. Days become years and Emmeline and Richard make a home for themselves surrounded by exotic creatures and nature's beauty. But will they ever see civilization again?",R,"77,667",29.727,5.8,12.0,31.0,4500000,58853106,True,Brooke Shields, Christopher Atkins, Leo McKern,Adventure, Drama, Romance,Randal Kleiser,,1980,False
tt0472399,The Mechanic,93 min,"Arthur Bishop is a 'mechanic' - an elite assassin with a strict code requiring professional perfection and total detachment. One of an elite group of assassins, Bishop may be the best in the business - with a unique talent for cleanly eliminating targets. When Harry McKenna, his close friend and mentor, is murdered, Harry's son comes to him with vengeance in his heart and a desire to learn Bishop's trade, signaling the birth of a deadly partnership.",R,"173,689",32.229,6.5,53.0,49.0,40000000,51070807,True,Jason Statham, Ben Foster, Donald Sutherland,Action, Crime, Thriller,Simon West,,2011,False
tt0087277,Footloose,107 min,"When teenager Ren and his family move from big-city Chicago to a small town in the West, he's in for a real case of culture shock after discovering he's living in a place where music and dancing are illegal.",PG,"94,629",39.475,6.6,55.0,42.0,8200000,80035402,True,Kevin Bacon, Lori Singer, John Lithgow,Drama, Music, Romance,Herbert Ross,,1984,False
tt1245526,RED,111 min,"After surviving an assault from a squad of hit men, retired CIA black ops agent Frank Moses reassembles his old team for an all-out war. Frank reunites with old Joe, crazy Marvin and wily Victoria to uncover a massive conspiracy that threatens their lives. Only their expert training will allow them to survive a near-impossible mission -- breaking into CIA headquarters.",PG-13,"327,008",33.143,7.0,72.0,60.0,58000000,199000000,True,Bruce Willis, Helen Mirren, Morgan Freeman,Action, Comedy, Crime,Robert Schwentke,,2010,False
tt0120770,A Night at the Roxbury,82 min,"Despite being well into adulthood, brothers Doug and Steve Butabi still live at home and work in the flower shop owned by their dad. They exist only to hit on women at discos, though they're routinely unsuccessful until a chance run-in with Richard Grieco gets them inside the swank Roxbury club. Mistaken for high rollers, they meet their dream women, Vivica and Cambi, and resolve to open a club of their own.",PG-13,"65,003",33.123,6.2,11.0,26.0,17000000,30331165,True,Chris Kattan, Will Ferrell, Raquel Gardner,Comedy, Music, Romance,John Fortenberry,,1998,False
tt6450186,I Can Only Imagine,110 min,"10-year-old Bart Millard lives with his mother and abusive father Arthur in Texas. One day his mother drops him off at a Christian camp where he meets Shannon. Upon his return from camp, Bart finds his mother has left and movers are removing her belongings. He angrily confronts his father, who denies that his abusiveness was the reason she left. Years later, in high school, Bart and Shannon are dating. Bart plays football to please his father but is injured, breaking both ankles and ending his career. The only elective with openings is music class, so he reluctantly signs up.",PG,"18,732",33.113,7.3,67.0,30.0,7000000,86026201,True,John Michael Finley, Madeline Carroll, Dennis Quaid,Biography, Drama, Family,Andrew Erwin, Jon Erwin,2018,False
tt0082495,Halloween II,92 min,"After failing to kill stubborn survivor Laurie and taking a bullet or six from former psychiatrist Dr. Sam Loomis, Michael Myers has followed Laurie to the Haddonfield Memorial Hospital, where she's been admitted for Myers' attempt on her life. The institution proves to be particularly suited to serial killers, however, as Myers cuts, stabs and slashes his way through hospital staff to reach his favorite victim.",R,"102,878",27.966,6.5,33.0,40.0,2500000,25533818,True,Jamie Lee Curtis, Donald Pleasence, Charles Cyphers,Horror,,,Rick Rosenthal,,1981,False
tt7401588,Instant Family,118 min,"When Pete and Ellie decide to start a family, they stumble into the world of foster care adoption. They hope to take in one small child but when they meet three siblings, including a rebellious 15 year old girl, they find themselves speeding from zero to three kids overnight.",PG-13,"122,806",33.104,7.3,82.0,57.0,48000000,121000000,True,Mark Wahlberg, Rose Byrne, Isabela Merced,Comedy, Drama,,Sean Anders,,2018,False
tt0091326,The Karate Kid Part II,113 min,"After discovering that his father is at death's door, Mr. Miyagi sets out to Japan, to see him with Daniel. Upon arriving, Miyagi must confront an old rival. Meanwhile, Daniel encounters a new love, and some new enemies.",PG,"100,319",28.463,6.1,47.0,55.0,13000000,115103979,True,Pat Morita, Ralph Macchio, Pat E. Johnson,Action, Family, Sport,John G. Avildsen,,1986,False
